Accession,g4_count,Genome Size,Taxa,Domain,G4 Density (per Mb),log10(Genome Size),log10(G4 count),log10(G4 Density),log10(Genome Size) binned
GCA_004379595.1,0.0,543529.0,viral,Virus,0.0,5.735222720830737,0.0,0.0,5
GCA_004379455.1,0.0,541724.0,viral,Virus,0.0,5.733778076563159,0.0,0.0,5
GCA_004379415.1,0.0,541664.0,viral,Virus,0.0,5.733729972524826,0.0,0.0,5
GCA_004379475.1,0.0,541644.0,viral,Virus,0.0,5.733713936661269,0.0,0.0,5
GCA_004379435.1,0.0,541643.0,viral,Virus,0.0,5.7337131348525485,0.0,0.0,5
GCA_004379495.1,0.0,541299.0,viral,Virus,0.0,5.733437224772785,0.0,0.0,5
GCA_004379695.1,0.0,540217.0,viral,Virus,0.0,5.732568246808159,0.0,0.0,5
GCA_002074035.1,0.0,534351.0,bacteria,Bacteria,0.0,5.727826626478546,0.0,0.0,5
GCF_012562765.1,0.0,519975.0,bacteria,Bacteria,0.0,5.715982463590472,0.0,0.0,5
GCA_030127385.1,0.0,498922.0,bacteria,Bacteria,0.0,5.698032654606542,0.0,0.0,5
GCA_902730485.1,0.0,462018.0,viral,Virus,0.0,5.664658895790743,0.0,0.0,5
GCF_024029895.1,0.0,456890.0,bacteria,Bacteria,0.0,5.659811652710234,0.0,0.0,5
GCA_900016785.1,0.0,430464.0,bacteria,Bacteria,0.0,5.633936836962504,0.0,0.0,5
GCA_031310605.1,0.0,407612.0,viral,Virus,0.0,5.610246961048493,0.0,0.0,5
GCA_031673075.1,0.0,402237.0,bacteria,Bacteria,0.0,5.604482016923962,0.0,0.0,5
GCA_031834255.1,0.0,348967.0,viral,Virus,0.0,5.542784359923307,0.0,0.0,5
GCA_031673915.1,0.0,326911.0,bacteria,Bacteria,0.0,5.514429534098041,0.0,0.0,5
GCA_015139955.1,0.0,310648.0,bacteria,Bacteria,0.0,5.492268561902908,0.0,0.0,5
GCA_031268825.1,0.0,298392.0,viral,Virus,0.0,5.474787175360855,0.0,0.0,5
GCF_902860225.1,0.0,292520.0,bacteria,Bacteria,0.0,5.46615556475221,0.0,0.0,5
GCA_015134075.1,0.0,291407.0,bacteria,Bacteria,0.0,5.464499979914616,0.0,0.0,5
GCA_902729635.1,0.0,288272.0,viral,Virus,0.0,5.459802461201806,0.0,0.0,5
GCA_902730995.1,0.0,286080.0,viral,Virus,0.0,5.456487497115823,0.0,0.0,5
GCF_000909875.1,0.0,282895.0,viral,Virus,0.0,5.451625271629493,0.0,0.0,5
GCA_000908415.1,0.0,281182.0,viral,Virus,0.0,5.44898751566897,0.0,0.0,5
GCA_015134695.1,0.0,274490.0,bacteria,Bacteria,0.0,5.438526527205319,0.0,0.0,5
GCA_016759145.1,0.0,274478.0,viral,Virus,0.0,5.438507540547504,0.0,0.0,5
GCA_002688505.1,0.0,271175.0,bacteria,Bacteria,0.0,5.433249648828839,0.0,0.0,5
GCA_015134355.1,0.0,268511.0,bacteria,Bacteria,0.0,5.428962081996266,0.0,0.0,5
GCA_015134335.1,0.0,267621.0,bacteria,Bacteria,0.0,5.427520189164111,0.0,0.0,5
GCA_020488435.1,0.0,267143.0,viral,Virus,0.0,5.4267437987652185,0.0,0.0,5
GCA_020488515.1,0.0,267121.0,viral,Virus,0.0,5.426708031883649,0.0,0.0,5
GCF_020488355.1,0.0,266939.0,viral,Virus,0.0,5.426412029191944,0.0,0.0,5
GCA_020488365.1,0.0,266838.0,viral,Virus,0.0,5.426247676875543,0.0,0.0,5
GCA_020488445.1,0.0,266175.0,viral,Virus,0.0,5.425167262739293,0.0,0.0,5
GCA_020488385.1,0.0,265970.0,viral,Virus,0.0,5.424832653288131,0.0,0.0,5
GCF_020488465.1,0.0,265891.0,viral,Virus,0.0,5.424703637382386,0.0,0.0,5
GCA_020488405.1,0.0,265871.0,viral,Virus,0.0,5.424670969047145,0.0,0.0,5
GCA_020488425.1,0.0,265846.0,viral,Virus,0.0,5.424630130172121,0.0,0.0,5
GCA_021536525.1,0.0,265846.0,viral,Virus,0.0,5.424630130172121,0.0,0.0,5
GCA_020488175.1,0.0,265635.0,viral,Virus,0.0,5.424285296996539,0.0,0.0,5
GCF_020488415.1,0.0,265146.0,viral,Virus,0.0,5.423485079725254,0.0,0.0,5
GCA_020487905.1,0.0,265102.0,viral,Virus,0.0,5.423413004178538,0.0,0.0,5
GCA_020488045.1,0.0,264306.0,viral,Virus,0.0,5.422107022145386,0.0,0.0,5
GCA_020487895.1,0.0,264285.0,viral,Virus,0.0,5.422072514618301,0.0,0.0,5
GCA_015134315.1,0.0,263895.0,bacteria,Bacteria,0.0,5.421431161751006,0.0,0.0,5
GCA_020488095.1,0.0,263891.0,viral,Virus,0.0,5.421424578863518,0.0,0.0,5
GCA_902730245.1,0.0,263352.0,viral,Virus,0.0,5.42053662091133,0.0,0.0,5
GCA_900092385.1,0.0,257877.0,viral,Virus,0.0,5.411412609223944,0.0,0.0,5
GCA_028674825.1,0.0,251286.0,viral,Virus,0.0,5.400168293239947,0.0,0.0,5
GCF_000910195.2,0.0,247511.0,viral,Virus,0.0,5.393594504817641,0.0,0.0,5
GCA_902731015.1,0.0,237515.0,viral,Virus,0.0,5.375691042219912,0.0,0.0,5
GCA_030849185.1,0.0,237114.0,bacteria,Bacteria,0.0,5.374957196927356,0.0,0.0,5
GCA_902729525.1,0.0,236936.0,viral,Virus,0.0,5.374631052337495,0.0,0.0,5
GCA_030849165.1,0.0,236266.0,bacteria,Bacteria,0.0,5.373401228721706,0.0,0.0,5
GCA_030849145.1,0.0,235918.0,bacteria,Bacteria,0.0,5.372761077818388,0.0,0.0,5
GCA_030849445.1,0.0,235744.0,bacteria,Bacteria,0.0,5.37244064817479,0.0,0.0,5
GCA_002609765.1,0.0,234900.0,viral,Virus,0.0,5.370883016777606,0.0,0.0,5
GCF_000837185.1,0.0,232392.0,viral,Virus,0.0,5.366221173564867,0.0,0.0,5
GCA_025665825.1,0.0,228869.0,viral,Virus,0.0,5.3595869720512175,0.0,0.0,5
GCA_014190395.2,0.0,228827.0,viral,Virus,0.0,5.359507266883197,0.0,0.0,5
GCF_014190395.1,0.0,228827.0,viral,Virus,0.0,5.359507266883197,0.0,0.0,5
GCA_009730715.1,0.0,226876.0,viral,Virus,0.0,5.3557885566216195,0.0,0.0,5
GCF_004296515.1,0.0,226299.0,bacteria,Bacteria,0.0,5.354682634840979,0.0,0.0,5
GCA_031322405.1,0.0,225840.0,viral,Virus,0.0,5.353800865138863,0.0,0.0,5
GCF_009730695.1,0.0,224680.0,viral,Virus,0.0,5.351564415204105,0.0,0.0,5
GCA_030849345.1,0.0,222755.0,bacteria,Bacteria,0.0,5.347827461072723,0.0,0.0,5
GCF_000920195.1,0.0,222006.0,viral,Virus,0.0,5.3463647119807245,0.0,0.0,5
GCA_030849405.1,0.0,221413.0,bacteria,Bacteria,0.0,5.345203116373407,0.0,0.0,5
GCA_010701725.1,0.0,221312.0,viral,Virus,0.0,5.345004962921791,0.0,0.0,5
GCF_002957415.1,0.0,221116.0,viral,Virus,0.0,5.344620169355283,0.0,0.0,5
GCF_004296535.1,0.0,219841.0,bacteria,Bacteria,0.0,5.342108690877519,0.0,0.0,5
GCF_000902455.1,0.0,219372.0,viral,Virus,0.0,5.341181194699452,0.0,0.0,5
GCA_004146885.1,0.0,219171.0,viral,Virus,0.0,5.340783089168294,0.0,0.0,5
GCA_025665725.1,0.0,217472.0,viral,Virus,0.0,5.337403348516914,0.0,0.0,5
GCA_008375695.1,0.0,216799.0,viral,Virus,0.0,5.336057274658399,0.0,0.0,5
GCA_015134435.1,0.0,215782.0,bacteria,Bacteria,0.0,5.334015214087786,0.0,0.0,5
GCA_030221975.1,0.0,213507.0,viral,Virus,0.0,5.32941211829096,0.0,0.0,5
GCA_025462475.1,0.0,210919.0,viral,Virus,0.0,5.324115703606177,0.0,0.0,5
GCA_025791075.1,0.0,208626.0,viral,Virus,0.0,5.319368431381449,0.0,0.0,5
GCF_016835985.1,0.0,207623.0,viral,Virus,0.0,5.317275461988543,0.0,0.0,5
GCA_016835595.1,0.0,207431.0,viral,Virus,0.0,5.316873661035061,0.0,0.0,5
GCA_016836195.1,0.0,206821.0,viral,Virus,0.0,5.315594633653461,0.0,0.0,5
GCA_025462465.1,0.0,206803.0,viral,Virus,0.0,5.315556834586293,0.0,0.0,5
GCA_016835975.1,0.0,206788.0,viral,Virus,0.0,5.315525332850369,0.0,0.0,5
GCA_006458645.1,0.0,206372.0,viral,Virus,0.0,5.31465077304049,0.0,0.0,5
GCA_016835905.1,0.0,206253.0,viral,Virus,0.0,5.314400274186667,0.0,0.0,5
GCA_025462425.1,0.0,205032.0,viral,Virus,0.0,5.311821648074568,0.0,0.0,5
GCA_029376175.1,0.0,204808.0,viral,Virus,0.0,5.311346916600661,0.0,0.0,5
GCA_025665835.1,0.0,200446.0,viral,Virus,0.0,5.30199739410981,0.0,0.0,5
GCA_006471925.1,0.0,200397.0,viral,Virus,0.0,5.3018912157321445,0.0,0.0,5
GCA_004296495.1,0.0,200316.0,bacteria,Bacteria,0.0,5.301715639429338,0.0,0.0,5
GCF_017656055.1,0.0,200313.0,bacteria,Bacteria,0.0,5.301709135239947,0.0,0.0,5
GCA_006465945.1,0.0,200256.0,viral,Virus,0.0,5.30158553713008,0.0,0.0,5
GCA_029376345.1,0.0,200058.0,viral,Virus,0.0,5.30115592280518,0.0,0.0,5
GCA_006465625.1,0.0,200035.0,viral,Virus,0.0,5.3011059905489555,0.0,0.0,5
GCA_025462445.1,0.0,200014.0,viral,Virus,0.0,5.301060395213742,0.0,0.0,5
GCA_002608825.1,0.0,199912.0,viral,Virus,0.0,5.3008388640399025,0.0,0.0,5
GCA_025665745.1,0.0,199631.0,viral,Virus,0.0,5.300227982259788,0.0,0.0,5
GCA_006465645.1,0.0,199469.0,viral,Virus,0.0,5.299875410423494,0.0,0.0,5
GCA_006458845.1,0.0,199195.0,viral,Virus,0.0,5.299278432984957,0.0,0.0,5
GCA_006458985.1,0.0,198886.0,viral,Virus,0.0,5.298604213306749,0.0,0.0,5
GCA_006464885.1,0.0,198877.0,viral,Virus,0.0,5.298584560144752,0.0,0.0,5
GCA_006465965.1,0.0,198780.0,viral,Virus,0.0,5.298372686265604,0.0,0.0,5
GCA_006465885.1,0.0,198780.0,viral,Virus,0.0,5.298372686265604,0.0,0.0,5
GCA_014621605.1,0.0,198780.0,viral,Virus,0.0,5.298372686265604,0.0,0.0,5
GCA_014621625.1,0.0,198780.0,viral,Virus,0.0,5.298372686265604,0.0,0.0,5
GCA_014621615.1,0.0,198778.0,viral,Virus,0.0,5.298368316644246,0.0,0.0,5
GCA_006465585.1,0.0,198756.0,viral,Virus,0.0,5.298320247907426,0.0,0.0,5
GCA_006465785.1,0.0,198741.0,viral,Virus,0.0,5.298287470718004,0.0,0.0,5
GCA_006464905.1,0.0,198737.0,viral,Virus,0.0,5.298278729716351,0.0,0.0,5
GCA_006458945.1,0.0,198597.0,viral,Virus,0.0,5.297972683770206,0.0,0.0,5
GCA_011394965.1,0.0,198298.0,viral,Virus,0.0,5.297318334006897,0.0,0.0,5
GCA_025665755.1,0.0,198165.0,viral,Virus,0.0,5.297026951616813,0.0,0.0,5
GCA_000869985.1,0.0,198050.0,viral,Virus,0.0,5.296774846740312,0.0,0.0,5
GCA_023571565.1,0.0,198016.0,viral,Virus,0.0,5.296700283347236,0.0,0.0,5
GCA_030247795.1,0.0,198012.0,viral,Virus,0.0,5.2966915103416525,0.0,0.0,5
GCA_023571555.1,0.0,198010.0,viral,Virus,0.0,5.296687123772402,0.0,0.0,5
GCA_027128495.1,0.0,198009.0,viral,Virus,0.0,5.296684930471161,0.0,0.0,5
GCA_030169285.1,0.0,198008.0,viral,Virus,0.0,5.296682737158845,0.0,0.0,5
GCA_030169215.1,0.0,198007.0,viral,Virus,0.0,5.296680543835451,0.0,0.0,5
GCA_030169235.1,0.0,198006.0,viral,Virus,0.0,5.29667835050098,0.0,0.0,5
GCA_030169225.1,0.0,198005.0,viral,Virus,0.0,5.296676157155432,0.0,0.0,5
GCA_030169255.1,0.0,198001.0,viral,Virus,0.0,5.2966673836624665,0.0,0.0,5
GCA_030169245.1,0.0,198000.0,viral,Virus,0.0,5.296665190261531,0.0,0.0,5
GCA_030169185.1,0.0,197999.0,viral,Virus,0.0,5.296662996849518,0.0,0.0,5
GCA_025665705.1,0.0,197975.0,viral,Virus,0.0,5.296610351637567,0.0,0.0,5
GCA_024112425.1,0.0,197970.0,viral,Virus,0.0,5.2965993830817855,0.0,0.0,5
GCA_024112415.1,0.0,197966.0,viral,Virus,0.0,5.2965906080376985,0.0,0.0,5
GCA_006465045.1,0.0,197959.0,viral,Virus,0.0,5.296575251283901,0.0,0.0,5
GCA_006464985.1,0.0,197910.0,viral,Virus,0.0,5.296467738800115,0.0,0.0,5
GCA_024112445.1,0.0,197908.0,viral,Virus,0.0,5.296463349970078,0.0,0.0,5
GCA_024233105.1,0.0,197794.0,viral,Virus,0.0,5.2962131133156936,0.0,0.0,5
GCA_006465765.1,0.0,197792.0,viral,Virus,0.0,5.296208721911731,0.0,0.0,5
GCA_024579935.1,0.0,197776.0,viral,Virus,0.0,5.2961735890814,0.0,0.0,5
GCA_024232995.1,0.0,197771.0,viral,Virus,0.0,5.29616260948904,0.0,0.0,5
GCA_006465205.1,0.0,197767.0,viral,Virus,0.0,5.29615382561529,0.0,0.0,5
GCA_024205985.1,0.0,197767.0,viral,Virus,0.0,5.29615382561529,0.0,0.0,5
GCA_024233055.1,0.0,197764.0,viral,Virus,0.0,5.296147237593386,0.0,0.0,5
GCA_024579945.1,0.0,197762.0,viral,Virus,0.0,5.2961428455232635,0.0,0.0,5
GCA_024232975.1,0.0,197758.0,viral,Virus,0.0,5.296134061249761,0.0,0.0,5
GCA_024579925.1,0.0,197749.0,viral,Virus,0.0,5.296114295984733,0.0,0.0,5
GCA_024233045.1,0.0,197742.0,viral,Virus,0.0,5.296098922378893,0.0,0.0,5
GCA_024232915.1,0.0,197742.0,viral,Virus,0.0,5.296098922378893,0.0,0.0,5
GCA_030169395.1,0.0,197710.0,viral,Virus,0.0,5.296028636106723,0.0,0.0,5
GCA_030169385.1,0.0,197708.0,viral,Virus,0.0,5.296024242836999,0.0,0.0,5
GCA_030169435.1,0.0,197707.0,viral,Virus,0.0,5.296022046185471,0.0,0.0,5
GCA_030169505.1,0.0,197707.0,viral,Virus,0.0,5.296022046185471,0.0,0.0,5
GCA_030169495.1,0.0,197707.0,viral,Virus,0.0,5.296022046185471,0.0,0.0,5
GCA_030169545.1,0.0,197703.0,viral,Virus,0.0,5.2960132594682525,0.0,0.0,5
GCA_030169465.1,0.0,197703.0,viral,Virus,0.0,5.2960132594682525,0.0,0.0,5
GCA_030169325.1,0.0,197702.0,viral,Virus,0.0,5.2960110627611705,0.0,0.0,5
GCA_030169455.1,0.0,197702.0,viral,Virus,0.0,5.2960110627611705,0.0,0.0,5
GCA_030169315.1,0.0,197702.0,viral,Virus,0.0,5.2960110627611705,0.0,0.0,5
GCA_030169305.1,0.0,197701.0,viral,Virus,0.0,5.296008866042977,0.0,0.0,5
GCA_030169525.1,0.0,197700.0,viral,Virus,0.0,5.296006669313672,0.0,0.0,5
GCA_030169515.1,0.0,197700.0,viral,Virus,0.0,5.296006669313672,0.0,0.0,5
GCA_030169345.1,0.0,197699.0,viral,Virus,0.0,5.296004472573256,0.0,0.0,5
GCA_030169365.1,0.0,197699.0,viral,Virus,0.0,5.296004472573256,0.0,0.0,5
GCA_030169405.1,0.0,197699.0,viral,Virus,0.0,5.296004472573256,0.0,0.0,5
GCA_030169425.1,0.0,197699.0,viral,Virus,0.0,5.296004472573256,0.0,0.0,5
GCA_030169295.1,0.0,197698.0,viral,Virus,0.0,5.296002275821729,0.0,0.0,5
GCA_030169415.1,0.0,197697.0,viral,Virus,0.0,5.296000079059089,0.0,0.0,5
GCA_030169375.1,0.0,197697.0,viral,Virus,0.0,5.296000079059089,0.0,0.0,5
GCA_030169445.1,0.0,197697.0,viral,Virus,0.0,5.296000079059089,0.0,0.0,5
GCA_030169535.1,0.0,197696.0,viral,Virus,0.0,5.295997882285338,0.0,0.0,5
GCA_024579955.1,0.0,197692.0,viral,Virus,0.0,5.295989095079213,0.0,0.0,5
GCA_023731545.1,0.0,197653.0,viral,Virus,0.0,5.295903410500684,0.0,0.0,5
GCA_025665785.1,0.0,197653.0,viral,Virus,0.0,5.295903410500684,0.0,0.0,5
GCA_023913615.1,0.0,197652.0,viral,Virus,0.0,5.295901213237903,0.0,0.0,5
GCA_023731525.1,0.0,197650.0,viral,Virus,0.0,5.295896818678989,0.0,0.0,5
GCA_025665815.1,0.0,197650.0,viral,Virus,0.0,5.295896818678989,0.0,0.0,5
GCA_025665455.1,0.0,197640.0,viral,Virus,0.0,5.295874845217379,0.0,0.0,5
GCA_025665465.1,0.0,197637.0,viral,Virus,0.0,5.295868252962096,0.0,0.0,5
GCA_025665805.1,0.0,197635.0,viral,Virus,0.0,5.295863858069649,0.0,0.0,5
GCA_006465025.1,0.0,197632.0,viral,Virus,0.0,5.2958572656475855,0.0,0.0,5
GCA_024112435.1,0.0,197631.0,viral,Virus,0.0,5.295855068151327,0.0,0.0,5
GCA_006464925.1,0.0,197627.0,viral,Virus,0.0,5.295846278055097,0.0,0.0,5
GCA_025665675.1,0.0,197625.0,viral,Virus,0.0,5.295841882940265,0.0,0.0,5
GCA_024424445.1,0.0,197614.0,viral,Virus,0.0,5.295817709013592,0.0,0.0,5
GCA_023731535.1,0.0,197611.0,viral,Virus,0.0,5.295811115890962,0.0,0.0,5
GCA_024734875.1,0.0,197601.0,viral,Virus,0.0,5.2957891380926165,0.0,0.0,5
GCA_025665795.1,0.0,197600.0,viral,Virus,0.0,5.29578694025161,0.0,0.0,5
GCA_025665695.1,0.0,197595.0,viral,Virus,0.0,5.295775950879731,0.0,0.0,5
GCA_025665775.1,0.0,197592.0,viral,Virus,0.0,5.295769357123127,0.0,0.0,5
GCA_030169625.1,0.0,197592.0,viral,Virus,0.0,5.295769357123127,0.0,0.0,5
GCA_025665685.1,0.0,197568.0,viral,Virus,0.0,5.295716603465983,0.0,0.0,5
GCA_007575585.1,0.0,197566.0,viral,Virus,0.0,5.295712207038624,0.0,0.0,5
GCA_007575545.1,0.0,197566.0,viral,Virus,0.0,5.295712207038624,0.0,0.0,5
GCA_007575685.1,0.0,197566.0,viral,Virus,0.0,5.295712207038624,0.0,0.0,5
GCA_007575645.1,0.0,197566.0,viral,Virus,0.0,5.295712207038624,0.0,0.0,5
GCA_007575625.1,0.0,197566.0,viral,Virus,0.0,5.295712207038624,0.0,0.0,5
GCA_014621525.1,0.0,197559.0,viral,Virus,0.0,5.29569681919238,0.0,0.0,5
GCA_014621535.1,0.0,197556.0,viral,Virus,0.0,5.295690224234225,0.0,0.0,5
GCA_006465805.1,0.0,197551.0,viral,Virus,0.0,5.295679232414745,0.0,0.0,5
GCA_027571675.1,0.0,197549.0,viral,Virus,0.0,5.295674835609057,0.0,0.0,5
GCA_027571665.1,0.0,197547.0,viral,Virus,0.0,5.295670438758854,0.0,0.0,5
GCA_014621515.1,0.0,197547.0,viral,Virus,0.0,5.295670438758854,0.0,0.0,5
GCA_023565545.2,0.0,197520.0,viral,Virus,0.0,5.295611076923876,0.0,0.0,5
GCA_023612025.1,0.0,197520.0,viral,Virus,0.0,5.295611076923876,0.0,0.0,5
GCA_025665895.1,0.0,197514.0,viral,Virus,0.0,5.29559788430303,0.0,0.0,5
GCA_025756155.1,0.0,197498.0,viral,Virus,0.0,5.295562702021407,0.0,0.0,5
GCA_030169695.1,0.0,197489.0,viral,Virus,0.0,5.295542910735426,0.0,0.0,5
GCA_030169575.1,0.0,197489.0,viral,Virus,0.0,5.295542910735426,0.0,0.0,5
GCA_006465405.1,0.0,197488.0,viral,Virus,0.0,5.295540711647976,0.0,0.0,5
GCA_006465005.1,0.0,197488.0,viral,Virus,0.0,5.295540711647976,0.0,0.0,5
GCA_030169585.1,0.0,197483.0,viral,Virus,0.0,5.295529716043693,0.0,0.0,5
GCA_030169655.1,0.0,197483.0,viral,Virus,0.0,5.295529716043693,0.0,0.0,5
GCA_030169595.1,0.0,197483.0,viral,Virus,0.0,5.295529716043693,0.0,0.0,5
GCA_030169675.1,0.0,197483.0,viral,Virus,0.0,5.295529716043693,0.0,0.0,5
GCA_030169605.1,0.0,197483.0,viral,Virus,0.0,5.295529716043693,0.0,0.0,5
GCA_025665765.1,0.0,197480.0,viral,Virus,0.0,5.295523118547494,0.0,0.0,5
GCA_030169615.1,0.0,197479.0,viral,Virus,0.0,5.295520919359821,0.0,0.0,5
GCA_030169685.1,0.0,197479.0,viral,Virus,0.0,5.295520919359821,0.0,0.0,5
GCA_025740585.1,0.0,197469.0,viral,Virus,0.0,5.295498926870582,0.0,0.0,5
GCA_023617285.1,0.0,197443.0,viral,Virus,0.0,5.295441741185945,0.0,0.0,5
GCA_030170275.1,0.0,197442.0,viral,Virus,0.0,5.295439541586153,0.0,0.0,5
GCA_030170295.1,0.0,197442.0,viral,Virus,0.0,5.295439541586153,0.0,0.0,5
GCA_030170305.1,0.0,197442.0,viral,Virus,0.0,5.295439541586153,0.0,0.0,5
GCA_030170265.1,0.0,197442.0,viral,Virus,0.0,5.295439541586153,0.0,0.0,5
GCA_030170285.1,0.0,197442.0,viral,Virus,0.0,5.295439541586153,0.0,0.0,5
GCA_030170315.1,0.0,197442.0,viral,Virus,0.0,5.295439541586153,0.0,0.0,5
GCA_023681855.1,0.0,197436.0,viral,Virus,0.0,5.295426343753447,0.0,0.0,5
GCA_023682035.1,0.0,197434.0,viral,Virus,0.0,5.29542194438675,0.0,0.0,5
GCA_030169905.1,0.0,197425.0,viral,Virus,0.0,5.295402146685101,0.0,0.0,5
GCA_030169995.1,0.0,197425.0,viral,Virus,0.0,5.295402146685101,0.0,0.0,5
GCA_030169845.1,0.0,197425.0,viral,Virus,0.0,5.295402146685101,0.0,0.0,5
GCA_030169825.1,0.0,197423.0,viral,Virus,0.0,5.295397747073282,0.0,0.0,5
GCA_030170005.1,0.0,197423.0,viral,Virus,0.0,5.295397747073282,0.0,0.0,5
GCA_030169915.1,0.0,197423.0,viral,Virus,0.0,5.295397747073282,0.0,0.0,5
GCA_030169865.1,0.0,197423.0,viral,Virus,0.0,5.295397747073282,0.0,0.0,5
GCA_030169985.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_030169835.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_030169765.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_030169815.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_030169805.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_030170015.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_030169895.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_030169975.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_006471865.1,0.0,197422.0,viral,Virus,0.0,5.295395547250658,0.0,0.0,5
GCA_030169925.1,0.0,197421.0,viral,Virus,0.0,5.2953933474168915,0.0,0.0,5
GCA_030437925.1,0.0,197421.0,viral,Virus,0.0,5.2953933474168915,0.0,0.0,5
GCA_030169855.1,0.0,197421.0,viral,Virus,0.0,5.2953933474168915,0.0,0.0,5
GCA_030169755.1,0.0,197421.0,viral,Virus,0.0,5.2953933474168915,0.0,0.0,5
GCA_030169745.1,0.0,197421.0,viral,Virus,0.0,5.2953933474168915,0.0,0.0,5
GCA_030169735.1,0.0,197421.0,viral,Virus,0.0,5.2953933474168915,0.0,0.0,5
GCA_030169705.1,0.0,197420.0,viral,Virus,0.0,5.295391147571983,0.0,0.0,5
GCA_024424105.1,0.0,197420.0,viral,Virus,0.0,5.295391147571983,0.0,0.0,5
GCA_030169935.1,0.0,197419.0,viral,Virus,0.0,5.29538894771593,0.0,0.0,5
GCA_024425895.1,0.0,197418.0,viral,Virus,0.0,5.295386747848735,0.0,0.0,5
GCA_023647805.1,0.0,197417.0,viral,Virus,0.0,5.2953845479703965,0.0,0.0,5
GCA_009738615.1,0.0,197417.0,viral,Virus,0.0,5.2953845479703965,0.0,0.0,5
GCA_025785045.1,0.0,197416.0,viral,Virus,0.0,5.295382348080914,0.0,0.0,5
GCA_023682065.1,0.0,197415.0,viral,Virus,0.0,5.295380148180289,0.0,0.0,5
GCA_024138055.2,0.0,197413.0,viral,Virus,0.0,5.295375748345608,0.0,0.0,5
GCA_025665665.1,0.0,197405.0,viral,Virus,0.0,5.295358148561121,0.0,0.0,5
GCA_027571745.1,0.0,197398.0,viral,Virus,0.0,5.295342748164601,0.0,0.0,5
GCA_025665735.1,0.0,197393.0,viral,Virus,0.0,5.29533174754701,0.0,0.0,5
GCA_025665945.1,0.0,197387.0,viral,Virus,0.0,5.2953185464380805,0.0,0.0,5
GCA_023527195.1,0.0,197378.0,viral,Virus,0.0,5.295298744022275,0.0,0.0,5
GCA_025740845.1,0.0,197361.0,viral,Virus,0.0,5.2952613369953685,0.0,0.0,5
GCA_025665655.1,0.0,197351.0,viral,Virus,0.0,5.295239331356726,0.0,0.0,5
GCA_023682125.1,0.0,197347.0,viral,Virus,0.0,5.295230528789053,0.0,0.0,5
